ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90_94,F_95_99,F_100Plus,F_Unstated,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90_94,M_95_99,M_100Plus,M_Unstated,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90_94,T_95_99,T_100Plus,T_Unstated,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Siaya,KE041,521496,471669,993165,60791,69093,75099,58076,43237,36496,36089,23653,21014,16305,15502,15211,14319,12241,9897,6058,4492,2641,850,307,115,10,60867,68743,76049,59306,36412,28810,29232,23916,20143,14254,11400,10235,9450,8101,6669,3383,2597,1398,486,161,43,14,121658,137836,151148,117382,79649,65306,65321,47569,41157,30559,26902,25446,23769,20342,16566,9441,7089,4039,1336,468,158,24,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kisumu,KE042,594609,560942,1155551,70870,73933,82705,68693,61983,52430,48152,29237,23924,16384,14459,13958,12144,9273,7035,4040,2851,1594,577,255,97,15,70200,73732,81818,66211,51057,44356,42146,33546,27219,18030,13022,11174,9552,7294,5733,2611,1881,896,299,114,39,12,141070,147665,164523,134904,113040,96786,90298,62783,51143,34414,27481,25132,21696,16567,12768,6651,4732,2490,876,369,136,27,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Homa Bay,KE043,592367,539560,1131927,77663,83842,90367,67917,52595,42526,42841,24384,22575,17715,13315,14417,12654,10161,8340,4583,3451,1965,636,298,116,6,78031,83119,90967,68870,43397,32978,31462,25557,21424,14437,10261,10083,9141,7191,5894,2811,2105,1159,413,183,74,3,155694,166961,181334,136787,95992,75504,74303,49941,43999,32152,23576,24500,21795,17352,14234,7394,5556,3124,1049,481,190,9,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Migori,KE044,580214,536187,1116401,81289,86241,90228,67834,55855,43876,40183,22864,20485,16694,11988,11694,9620,7529,5607,3443,2473,1429,493,256,121,12,80137,85481,89402,66844,44983,35961,32393,24516,20201,15074,10121,8818,7489,5428,4160,2212,1564,887,303,141,67,5,161426,171722,179630,134678,100838,79837,72576,47380,40686,31768,22109,20512,17109,12957,9767,5655,4037,2316,796,397,188,17,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kisii,KE045,661038,605784,1266822,71694,85870,97319,75025,56929,51801,54522,30559,26848,26405,14594,20538,16584,11775,8514,4438,3667,2209,955,486,299,7,71813,86080,98067,75142,45597,39271,39158,30178,26770,21495,14914,18077,14127,9754,7030,3439,2474,1485,534,272,92,15,143507,171950,195386,150167,102526,91072,93680,60737,53618,47900,29508,38615,30711,21529,15544,7877,6141,3694,1489,758,391,22,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nyamira,KE046,314656,290907,605563,32257,39153,46267,34967,24374,24136,27048,15575,14819,13127,7859,10267,8198,5767,4626,2339,1903,1117,484,243,127,3,32197,39604,47226,35426,19932,17562,18498,15200,14084,11526,8228,9861,7813,5102,4028,1925,1385,781,303,170,55,1,64454,78757,93493,70393,44306,41698,45546,30775,28903,24653,16087,20128,16011,10869,8654,4264,3288,1898,787,413,182,4,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nairobi,KE047,2204376,2192452,4396828,260888,217482,193542,192755,313485,300845,245994,163995,113884,74213,47732,31862,19083,11925,7785,3962,2529,1253,603,319,171,69,264099,215230,185008,159098,249534,282703,249476,181801,139278,100719,66217,44739,24901,14458,8569,3475,1856,797,270,115,35,74,524987,432712,378550,351853,563019,583548,495470,345796,253162,174932,113949,76601,43984,26383,16354,7437,4385,2050,873,434,206,143,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
